Day,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince George's,Queen Anne's,Saint Mary's,Somerset,Talbot,Washington,Wicomico,Worcester,party
Day1,778,6511,428,5735,2538,611,3493,1979,1556,538,3197,866,4995,2574,289,4650,1302,1632,2437,369,958,2358,1341,1067,Republican
Day2,717,5621,328,5316,1988,500,2907,1657,1291,361,2785,631,4338,2133,259,3791,1163,1279,2083,321,749,2162,1229,939,Republican
Day3,345,3058,196,3188,871,211,1573,777,647,177,1717,279,2181,1068,101,1940,707,473,966,142,339,1235,628,421,Republican
Day4,302,2796,216,3245,731,228,1611,715,518,196,1738,229,1884,932,69,1773,596,394,943,196,317,1105,502,374,Republican
Day5,694,5354,381,5289,1523,469,2902,1569,1064,340,2860,520,4061,1810,231,3415,1120,1195,1573,265,627,2088,1061,850,Republican
Day6,570,5532,431,5250,1401,425,2961,1557,967,318,2552,541,3615,1729,206,3336,1158,1057,1580,282,586,1921,1026,718,Republican
Day1,257,5958,6538,9898,1213,248,1228,639,3062,352,2200,199,2885,5234,336,13811,18289,650,1103,179,698,935,1032,413,Democrat
Day2,233,5578,5350,9043,982,187,1151,515,2979,295,2202,130,2481,4710,221,13436,16432,507,982,124,570,837,875,423,Democrat
Day3,138,3480,3273,5852,554,79,683,273,2055,140,1697,58,1380,2874,112,8722,10180,215,480,70,223,574,475,143,Democrat
Day4,112,3083,2955,5543,514,84,659,281,1567,117,1499,33,1211,2496,81,7919,8328,210,470,86,212,496,395,188,Democrat
Day5,194,5434,5800,8573,837,159,1012,518,2854,249,2085,91,2211,3923,200,11840,16301,448,843,146,391,777,754,368,Democrat
Day6,213,5412,5881,8990,739,148,1003,524,2728,227,2165,93,2143,3701,184,11586,15897,407,801,155,376,852,734,322,Democrat
Day1,132,2298,533,1923,614,116,772,353,645,73,1121,87,1171,1653,84,3725,1550,291,585,71,232,515,313,259,Unaffiliated
Day2,114,2396,485,2050,580,95,759,354,612,92,1218,62,1154,1759,81,3940,1744,330,642,35,217,458,325,202,Unaffiliated
Day3,61,1553,344,1533,344,57,475,197,398,50,899,64,755,1231,30,2816,1258,111,329,28,120,341,199,102,Unaffiliated
Day4,53,1490,319,1550,262,34,515,194,365,32,931,17,708,1017,10,2540,1112,105,329,29,89,333,186,98,Unaffiliated
Day5,120,2381,607,2213,517,91,760,371,594,68,1213,58,1198,1367,69,3583,1820,329,453,47,191,582,300,229,Unaffiliated
Day6,118,2674,681,2441,567,102,775,388,617,87,1193,58,1229,1512,59,4006,2094,291,487,46,174,588,335,216,Unaffiliated
