zip,donations,total,donations_per_1000
20601,6976,190404.72999999975,36.63774529130662
20602,6758,109716.81999999996,61.594931387913014
20603,12854,248108.6100000006,51.8079562011168
20604,247,8033.67,30.745599458279965
20606,11,131.43,83.69474244845163
20607,6889,181393.81000000043,37.978142694064275
20608,337,2569.720000000003,131.14269258907572
20609,61,2290,26.637554585152838
20610,68,1669.1999999999998,40.7380781212557
20611,46,1206,38.14262023217247
20612,21,399.17,52.609164015331814
20613,6436,170352.85000000012,37.78040696119845
20614,21,409,51.344743276283616
20615,25,633,39.494470774091624
20616,1703,38740.9,43.95871030358097
20617,274,7542.26,36.32863359258366
20618,313,6069.32,51.57085142981421
20619,2733,63659.01000000006,42.931864633144585
20620,393,7357.65,53.41379380644636
20621,66,967,68.25232678386763
20622,356,8922.109999999999,39.90087546555692
20623,2075,33616.96000000001,61.72479605532445
20624,60,795,75.47169811320754
20625,454,9224.020000000004,49.21932086010219
20626,240,3636.8600000000006,65.99099222956066
20627,8,40,200
20628,43,12163.26,3.5352364415460986
20629,37,813,45.51045510455105
20630,371,24333.75,15.246314275440488
20632,21,2812.5,7.466666666666667
20634,1095,27256.079999999944,40.17452252855151
20635,23,1176,19.5578231292517
20636,2316,58391.37,39.66339546408999
20637,2083,40167.06999999999,51.85840042602063
20638,24,729.74,32.88842601474497
20639,3313,119571.28999999998,27.70732004313076
20640,1569,24599.82999999998,63.78092856739259
20644,33,659,50.07587253414264
20645,199,10778.3,18.46302292569329
20646,5566,130374.95000000004,42.692250313422925
20647,1,39.8,25.12562814070352
20649,6,330,18.18181818181818
20650,3964,144375.84000000023,27.456117311594472
20653,3608,81705.0799999999,44.15882096927149
20656,38,1569.76,24.207522168993986
20657,5067,125720.03000000009,40.30384020748322
20658,288,10475.370000000004,27.49306229756084
20659,2061,66697.38,30.900764018016897
20660,5,190,26.31578947368421
20662,316,3207.0199999999995,98.53384138546066
20663,6,135,44.44444444444444
20664,225,19794.23,11.36694885327694
20667,37,1525.39,24.25609188469834
20669,1,20,50
20670,100,2542.67,39.328737114922504
20674,355,9889.67,35.896041020580064
20675,265,13192.1,20.08777980761213
20676,4042,51759.59,78.09180868704718
20677,666,19220.51,34.65048534091967
20678,2380,49224.85999999996,48.349553457338466
20679,1,250,4
20680,87,6197.360000000001,14.03823563581912
20682,3,153,19.607843137254903
20683,6,280,21.428571428571427
20684,90,3067.24,29.342340345065924
20685,2422,44961.41000000005,53.86841738281779
20686,776,26377.35,29.41917971289762
20687,80,2937.49,27.23413526514133
20688,3855,84676.29000000008,45.526321476767535
20689,201,18325.74,10.96817918403295
20690,697,10894.629999999992,63.976472812752746
20691,4,84,47.61904761904761
20692,161,5585.110000000001,28.82664799798034
20693,226,5676.370000000001,39.81417701805908
20694,3,28,107.14285714285714
20695,4407,98344.96999999994,44.81164618790369
20696,2,189.92,10.530749789385004
20697,12,89,134.8314606741573
20698,11,205.5,53.5279805352798
20701,127,5610.76,22.635079739643114
20702,2,42,47.61904761904761
20703,225,2404.51,93.57415856037196
20704,71,1503.76,47.21498111400756
20705,8949,263127.96999999945,34.01006742080676
20706,12313,314519.8699999994,39.14855999399982
20707,16759,392772.42999999854,42.66847344657074
20708,7135,155413.97000000026,45.909643772692945
20709,69,826,83.53510895883777
20710,645,28141.24,22.920098758974373
20711,1572,67949.20999999996,23.134926807831924
20712,4346,127500.21000000004,34.08621836779719
20713,38,307,123.7785016286645
20714,2108,41288.52999999997,51.05534151978774
20715,17641,314771.77000000153,56.04378054613955
20716,9976,277360.8199999999,35.96758907764984
20717,56,1502.75,37.265014140741975
20718,237,5407.000000000001,43.83206953948584
20719,14,385,36.36363636363636
20720,17274,545108.1899999978,31.689122117207724
20721,27247,1016134.5099999992,26.81436338580807
20722,4938,57960.55000000015,85.19587892109352
20723,12363,402577.18000000034,30.70963932928337
20724,6276,110552.95999999986,56.76917198779669
20725,122,5023.42,24.286243236679393
20726,62,948,65.40084388185655
20727,5,13,384.61538461538464
20729,3,70.17,42.75331338178709
20730,2,25,80
20731,115,653,176.11026033690658
20732,4164,104842.46,39.71673308695732
20733,1910,50651.11,37.70894655615642
20734,20,578,34.602076124567475
20735,15308,316990.6299999999,48.291648242094745
20736,3030,72934.04000000002,41.544387229886055
20737,3706,102120.56000000011,36.29043945704955
20738,65,964,67.42738589211618
20739,4,160,25
20740,12587,317914.8899999996,39.59235756463001
20741,1486,40967.22999999998,36.272894213252904
20742,56,12867.61,4.352012533796097
20743,6852,165297.1299999999,41.45262534201292
20744,31497,615052.9699999988,51.210223405636206
20745,12754,230824.93999999977,55.25399465066475
20746,5612,110835.93000000008,50.63340019793217
20747,9223,156460.6300000003,58.94773656478299
20748,12089,230580.97000000085,52.42843761130832
20749,123,2894.23,42.498350165674466
20750,732,10758.440000000002,68.03960425489196
20751,943,30918.42999999999,30.499608162510203
20752,39,1026,38.01169590643275
20753,147,2130,69.01408450704226
20754,1806,52836.890000000014,34.180664304806726
20755,718,13748.61,52.22346113534386
20757,115,2539.17,45.29039016686555
20758,169,6653.169999999999,25.401425185287618
20759,4003,216717.4500000003,18.471055284196055
20762,160,2821.08,56.7158676818807
20763,1067,16640.289999999997,64.12147865211485
20764,1593,58113.28999999995,27.411974094049768
20765,376,18800.06,19.999936170416476
20768,190,4025.74,47.19629186186888
20769,7457,183612.53000000017,40.61269674787441
20770,17073,470197.8199999965,36.310249162788814
20771,16,223,71.74887892376681
20772,24555,701566.209999997,35.000260346062134
20773,348,13695.669999999998,25.40949073685333
20774,28133,790564.2600000018,35.58597500979862
20775,333,8819.52,37.75715685207358
20776,1344,43335.31999999999,31.01396274447726
20777,2707,111532.35999999994,24.270982878870324
20778,1436,39547.169999999984,36.31106852905027
20779,687,29339.599999999988,23.415452153403603
