zip,donations,total,donations_per_1000
20601,1425,35154.4,40.53546639965409
20602,897,22974.03999999998,39.04406887077766
20603,1449,54640.36000000012,26.518858953345052
20604,58,1159.21,50.03407493034049
20606,21,293.59999999999997,71.52588555858311
20607,578,12869.199999999992,44.91343673266406
20608,26,960.7,27.06359945872801
20609,48,2305.4399999999996,20.82032063293775
20610,40,2338.0399999999995,17.108347162580625
20611,35,826.2,42.362624061970465
20612,146,717.07,203.60634247702455
20613,1242,21712.14999999992,57.202994636643744
20615,156,2400.2400000000016,64.99350064993496
20616,292,6938.1399999999985,42.08620754265553
20617,122,2581.13,47.26611987772797
20618,111,3086.189999999999,35.96667735946265
20619,1321,50741.130000000056,26.03410684783722
20620,163,5863.94,27.797010201332213
20621,39,1845.489999999999,21.132598930365386
20622,383,17405.309999999994,22.004779001350744
20623,103,2147.4399999999996,47.96408747159409
20624,18,727.2300000000001,24.751454147931188
20625,26,1835.3699999999997,14.16608095370416
20626,16,1488.6,10.748354158269516
20627,3,520.24,5.766569275718899
20628,88,2661.529999999999,33.06368893080297
20630,57,8129.480000000001,7.0115185719135775
20632,74,1660.4599999999996,44.5659636486275
20634,2590,41293.05999999995,62.72240420060909
20636,1831,39801.99999999989,46.00271343148598
20637,1342,50569.88999999994,26.5375305344742
20639,4060,78700.29000000027,51.588119942124564
20640,1132,23500.449999999957,48.16929037529077
20645,104,2337.07,44.50016473618676
20646,5750,92164.8600000004,62.38820305265993
20650,6687,111278.18000000074,60.09264349938107
20653,2289,45948.46000000004,49.816685912868415
20656,4,4,1000
20657,1350,80439.92000000038,16.782711867440863
20658,11,1121.18,9.811091885335093
20659,3755,91069.19000000054,41.23238605723821
20660,2,2000,1
20662,133,9742.390000000005,13.651680953031025
20664,281,8245.47,34.07931870469482
20667,30,1417.13,21.169546901131156
20670,19,705.89,26.91637507260338
20674,209,9114.100000000006,22.931501739063634
20675,131,4188.69,31.27469447488356
20676,691,23146.85999999999,29.852861252022965
20677,10510,52261.30000000037,201.1048328304104
20678,2547,50940.49999999995,49.9995092313582
20680,44,1978.8,22.23569840307257
